Iteration 1: c = [, s = Ú√Õ, state = 0
Iteration 2758: c = r, s = srrxx, state = 9
Iteration 2759: c = ], s = teaxa, state = 9
Iteration 2760: c =  , s = rxaxt, state = 9
Iteration 2761: c = {, s = aarra, state = 9
Iteration 2762: c = e, s = ereer, state = 9
Iteration 2763: c = [, s = sarae, state = 9
Iteration 2764: c = e, s = teaee, state = 9
Iteration 2765: c = ), s = sxesr, state = 9
Iteration 2766: c = [, s = xrarr, state = 9
Iteration 2767: c = t, s = estts, state = 9
Iteration 2768: c = (, s = etatr, state = 9
Iteration 2769: c = (, s = xaexe, state = 9
Iteration 2770: c = }, s = xrsse, state = 9
Iteration 2771: c = e, s = strxe, state = 9
Iteration 2772: c = e, s = retts, state = 9
Iteration 2773: c = e, s = eerxr, state = 9
Iteration 2774: c = s, s = tstae, state = 9
Iteration 2775: c = (, s = trsxr, state = 9
Iteration 2776: c =  , s = aeett, state = 9
Iteration 2777: c = a, s = teaat, state = 9
Iteration 2778: c = x, s = aexax, state = 9
Iteration 2779: c = }, s = axese, state = 9
Iteration 2780: c = s, s = eeaes, state = 9
Iteration 2781: c = [, s = xxxes, state = 9
Iteration 2782: c = [, s = srtxr, state = 9
Iteration 2783: c = a, s = ssats, state = 9
Iteration 2784: c = e, s = satax, state = 9
Iteration 2785: c = r, s = xetse, state = 9
Iteration 2786: c =  , s = xaese, state = 9
Iteration 2787: c = t, s = xtxre, state = 9
Iteration 2788: c =  , s = sxsxr, state = 9
Iteration 2789: c = ], s = axeet, state = 9
Iteration 2790: c = }, s = sasea, state = 9
Iteration 2791: c = x, s = xtera, state = 9
Iteration 2792: c = ), s = ttsrt, state = 9
Iteration 2793: c =  , s = taaes, state = 9
Iteration 2794: c = (, s = staee, state = 9
Iteration 2795: c = x, s = etxat, state = 9
Iteration 2796: c = [, s = ertra, state = 9
Iteration 2797: c = {, s = axeaa, state = 9
Iteration 2798: c = e, s = esset, state = 9
Iteration 2799: c = {, s = rstsr, state = 9
Iteration 2800: c = ), s = rsexa, state = 9
Iteration 2801: c = }, s = txaxa, state = 9
Iteration 2802: c = [, s = rsxxx, state = 9
Iteration 2803: c =  , s = exexs, state = 9
Iteration 2804: c = (, s = tster, state = 9
Iteration 2805: c = ), s = ersar, state = 9
Iteration 2806: c = ], s = tsaxa, state = 9
Iteration 2807: c = (, s = rsrxs, state = 9
Iteration 2808: c =  , s = artea, state = 9
Iteration 2809: c = s, s = tattr, state = 9
Iteration 2810: c = {, s = ttste, state = 9
Iteration 2811: c = {, s = xrsrs, state = 9
Iteration 2812: c =  , s = rrett, state = 9
Iteration 2813: c = ], s = xttta, state = 9
Iteration 2814: c =  , s = rtses, state = 9
Iteration 2815: c = (, s = ttssa, state = 9
Iteration 2816: c = e, s = trrar, state = 9
Iteration 2817: c = x, s = axrrr, state = 9
Iteration 2818: c = {, s = eeses, state = 9
Iteration 2819: c = (, s = xaaas, state = 9
Iteration 2820: c = ), s = asxta, state = 9
Iteration 2821: c = t, s = trxtr, state = 9
Iteration 2822: c = ), s = eaxer, state = 9
Iteration 2823: c = x, s = stsae, state = 9
Iteration 2824: c =  , s = eatxa, state = 9
Iteration 2825: c = r, s = etaxx, state = 9
Iteration 2826: c = a, s = textx, state = 9
Iteration 2827: c = (, s = eress, state = 9
Iteration 2828: c = s, s = ssrrx, state = 9
Iteration 2829: c = x, s = trxea, state = 9
Iteration 2830: c =  , s = rxxar, state = 9
Iteration 2831: c = s, s = sexes, state = 9
Iteration 2832: c = r, s = srrss, state = 9
Iteration 2833: c = s, s = earsa, state = 9
Iteration 2834: c = r, s = stesx, state = 9
Iteration 2835: c = ], s = ssrat, state = 9
Iteration 2836: c =  , s = eartt, state = 9
Iteration 2837: c = ), s = txxsa, state = 9
Iteration 2838: c = ], s = xreea, state = 9
Iteration 2839: c = ], s = stxsx, state = 9
Iteration 2840: c = a, s = sxxaa, state = 9
Iteration 2841: c = ], s = aerax, state = 9
Iteration 2842: c = a, s = rrxer, state = 9
Iteration 2843: c = {, s = sasrx, state = 9
Iteration 2844: c = r, s = raxxr, state = 9
Iteration 2845: c = s, s = xests, state = 9
Iteration 2846: c = a, s = sasxa, state = 9
Iteration 2847: c = a, s = eerar, state = 9
Iteration 2848: c = [, s = txexx, state = 9
Iteration 2849: c =  , s = aarxe, state = 9
Iteration 2850: c = t, s = xartx, state = 9
Iteration 2851: c =  , s = arrxs, state = 9
Iteration 2852: c = {, s = raarx, state = 9
Iteration 2853: c = }, s = sttrx, state = 9
Iteration 2854: c = ], s = easet, state = 9
Iteration 2855: c = x, s = arrts, state = 9
Iteration 2856: c = ), s = atasa, state = 9
Iteration 2857: c = r, s = xxtae, state = 9
Iteration 2858: c =  , s = tatsr, state = 9
Iteration 2859: c = e, s = errta, state = 9
Iteration 2860: c = }, s = eraxt, state = 9
Iteration 2861: c = (, s = xssse, state = 9
Iteration 2862: c = ], s = eaeer, state = 9
Iteration 2863: c = r, s = eesaa, state = 9
Iteration 2864: c = {, s = aerer, state = 9
Iteration 2865: c = ], s = aerxa, state = 9
Iteration 2866: c = [, s = rrssr, state = 9
Iteration 2867: c = (, s = reaxx, state = 9
Iteration 2868: c = t, s = teeta, state = 9
Iteration 2869: c = a, s = stxte, state = 9
Iteration 2870: c = s, s = aaetx, state = 9
Iteration 2871: c = {, s = tsrse, state = 9
Iteration 2872: c = ), s = txase, state = 9
Iteration 2873: c = t, s = etxax, state = 9
Iteration 2874: c = {, s = ttexa, state = 9
Iteration 2875: c = (, s = xasxe, state = 9
Iteration 2876: c = s, s = tteex, state = 9
Iteration 2877: c = ], s = assaa, state = 9
Iteration 2878: c = ), s = tatet, state = 9
Iteration 2879: c = r, s = exsex, state = 9
Iteration 2880: c = a, s = aextt, state = 9
Iteration 2881: c = x, s = trxtx, state = 9
Iteration 2882: c = }, s = saesa, state = 9
Iteration 2883: c = s, s = saare, state = 9
Iteration 2884: c =  , s = axsae, state = 9
Iteration 2885: c = {, s = taree, state = 9
Iteration 2886: c = ], s = xarat, state = 9
Iteration 2887: c = e, s = rsret, state = 9
Iteration 2888: c = {, s = xexat, state = 9
Iteration 2889: c = a, s = rttes, state = 9
Iteration 2890: c = ), s = ssess, state = 9
Iteration 2891: c = x, s = xtxat, state = 9
Iteration 2892: c = {, s = atssa, state = 9
Iteration 2893: c = ], s = easta, state = 9
Iteration 2894: c =  , s = eearr, state = 9
Iteration 2895: c = (, s = xexse, state = 9
Iteration 2896: c = {, s = taaar, state = 9
Iteration 2897: c = ], s = aases, state = 9
Iteration 2898: c = a, s = aterx, state = 9
Iteration 2899: c = a, s = rsxra, state = 9
Iteration 2900: c = r, s = eaxsx, state = 9
Iteration 2901: c = t, s = xesrs, state = 9
Iteration 2902: c = a, s = aasar, state = 9
Iteration 2903: c = [, s = eexer, state = 9
Iteration 2904: c = }, s = srsee, state = 9
Iteration 2905: c = r, s = eeste, state = 9
Iteration 2906: c = ], s = xsste, state = 9
Iteration 2907: c = {, s = sxatr, state = 9
Iteration 2908: c = x, s = trrxe, state = 9
Iteration 2909: c = ), s = ttsss, state = 9
Iteration 2910: c = e, s = rxras, state = 9
Iteration 2911: c = x, s = sxrae, state = 9
Iteration 2912: c = r, s = satst, state = 9
Iteration 2913: c =  , s = xeraa, state = 9
Iteration 2914: c = (, s = axras, state = 9
Iteration 2915: c = }, s = arxrx, state = 9
Iteration 2916: c = [, s = rsrae, state = 9
Iteration 2917: c = (, s = ttesx, state = 9
Iteration 2918: c = {, s = stxta, state = 9
Iteration 2919: c = a, s = rtesx, state = 9
Iteration 2920: c = (, s = exxrs, state = 9
Iteration 2921: c = {, s = srtrx, state = 9
Iteration 2922: c = ), s = etsar, state = 9
Iteration 2923: c = [, s = sxrsa, state = 9
Iteration 2924: c = e, s = xrssx, state = 9
Iteration 2925: c = a, s = eatrs, state = 9
Iteration 2926: c = t, s = etxes, state = 9
Iteration 2927: c = (, s = aseat, state = 9
Iteration 2928: c = ), s = taeex, state = 9
Iteration 2929: c = a, s = treax, state = 9
Iteration 2930: c = ], s = assxs, state = 9
Iteration 2931: c = ], s = rerae, state = 9
Iteration 2932: c =  , s = rreat, state = 9
Iteration 2933: c = x, s = atxxs, state = 9
Iteration 2934: c = ], s = tsaxr, state = 9
Iteration 2935: c = ], s = xsett, state = 9
Iteration 2936: c = s, s = texrs, state = 9
Iteration 2937: c = ], s = saass, state = 9
Iteration 2938: c = (, s = eaaat, state = 9
Iteration 2939: c = a, s = sstaa, state = 9
Iteration 2940: c = s, s = astte, state = 9
Iteration 2941: c = e, s = rerxr, state = 9
Iteration 2942: c = e, s = axsra, state = 9
Iteration 2943: c =  , s = xetre, state = 9
Iteration 2944: c =  , s = rxxst, state = 9
Iteration 2945: c = [, s = xtrtt, state = 9
Iteration 2946: c = x, s = trxea, state = 9
Iteration 2947: c = (, s = xrtxr, state = 9
Iteration 2948: c = (, s = etret, state = 9
Iteration 2949: c =  , s = rrtxr, state = 9
Iteration 2950: c = e, s = rttex, state = 9
Iteration 2951: c = e, s = tresa, state = 9
Iteration 2952: c = }, s = axssa, state = 9
Iteration 2953: c = r, s = teerr, state = 9
Iteration 2954: c = s, s = resxe, state = 9
Iteration 2955: c = r, s = xaaar, state = 9
Iteration 2956: c = t, s = asrse, state = 9
Iteration 2957: c = (, s = eetsx, state = 9
Iteration 2958: c = t, s = asasr, state = 9
Iteration 2959: c = r, s = aseaa, state = 9
Iteration 2960: c = r, s = ttera, state = 9
Iteration 2961: c = e, s = taxst, state = 9
Iteration 2962: c = x, s = tetxx, state = 9
Iteration 2963: c = a, s = ttere, state = 9
Iteration 2964: c = }, s = erxxe, state = 9
Iteration 2965: c = s, s = eetta, state = 9
Iteration 2966: c = [, s = taesa, state = 9
Iteration 2967: c = }, s = saxxx, state = 9
Iteration 2968: c = e, s = eeara, state = 9
Iteration 2969: c = (, s = xtsrx, state = 9
Iteration 2970: c = x, s = saatx, state = 9
Iteration 2971: c = t, s = stera, state = 9
Iteration 2972: c = s, s = ssexr, state = 9
Iteration 2973: c = ), s = atsxx, state = 9
Iteration 2974: c = t, s = eaxee, state = 9
Iteration 2975: c = (, s = arsxx, state = 9
Iteration 2976: c = ), s = eaesr, state = 9
Iteration 2977: c = ), s = saxxx, state = 9
Iteration 2978: c = [, s = arxte, state = 9
Iteration 2979: c = e, s = srrae, state = 9
Iteration 2980: c = }, s = xreae, state = 9
Iteration 2981: c =  , s = ereer, state = 9
Iteration 2982: c = r, s = tstes, state = 9
Iteration 2983: c = {, s = eatss, state = 9
Iteration 2984: c = x, s = xeaxe, state = 9
Iteration 2985: c = ], s = xtxta, state = 9
Iteration 2986: c = ], s = aasrs, state = 9
Iteration 2987: c = (, s = trasa, state = 9
Iteration 2988: c = e, s = aexea, state = 9
Iteration 2989: c = r, s = sxtse, state = 9
Iteration 2990: c = {, s = earxt, state = 9
Iteration 2991: c = ], s = extxs, state = 9
Iteration 2992: c =  , s = xatra, state = 9
Iteration 2993: c = }, s = xetar, state = 9
Iteration 2994: c = r, s = axsxx, state = 9
Iteration 2995: c = t, s = exstr, state = 9
Iteration 2996: c = r, s = teeer, state = 9
Iteration 2997: c = x, s = esasr, state = 9
Iteration 2998: c = e, s = atsaa, state = 9
Iteration 2999: c = ), s = axasx, state = 9
Iteration 3000: c = (, s = aartx, state = 9
Iteration 3001: c = x, s = rxear, state = 9
Iteration 3002: c = s, s = sraxe, state = 9
Iteration 3003: c = e, s = rxaxs, state = 9
Iteration 3004: c = }, s = xerxs, state = 9
Iteration 3005: c = a, s = resea, state = 9
Iteration 3006: c = ), s = xaxra, state = 9
Iteration 3007: c = s, s = astse, state = 9
Iteration 3008: c = r, s = erttx, state = 9
Iteration 3009: c =  , s = tsstx, state = 9
Iteration 3010: c = ), s = rratr, state = 9
Iteration 3011: c = e, s = tsxta, state = 9
Iteration 3012: c = s, s = xatat, state = 9
Iteration 3013: c = t, s = xsttr, state = 9
Iteration 3014: c = ], s = trsxx, state = 9
Iteration 3015: c = t, s = reese, state = 9
Iteration 3016: c = a, s = aaaae, state = 9
Iteration 3017: c = s, s = rttxx, state = 9
Iteration 3018: c = }, s = ateex, state = 9
Iteration 3019: c = }, s = xrrae, state = 9
Iteration 3020: c = x, s = aaxte, state = 9
Iteration 3021: c = [, s = aates, state = 9
Iteration 3022: c = a, s = aaras, state = 9
Iteration 3023: c = {, s = raers, state = 9
Iteration 3024: c = x, s = essss, state = 9
Iteration 3025: c = a, s = reast, state = 9
Iteration 3026: c = t, s = srsre, state = 9
Iteration 3027: c = x, s = astar, state = 9
Iteration 3028: c = e, s = xsrrr, state = 9
Iteration 3029: c = [, s = rxrrr, state = 9
Iteration 3030: c = }, s = xrtex, state = 9
Iteration 3031: c = (, s = astax, state = 9
Iteration 3032: c = t, s = ttsxs, state = 9
Iteration 3033: c = a, s = teexs, state = 9
Iteration 3034: c = ], s = tsxrr, state = 9
Iteration 3035: c = ], s = tssse, state = 9
Iteration 3036: c = {, s = rsrrr, state = 9
Iteration 3037: c = (, s = rtaer, state = 9
Iteration 3038: c = e, s = rssrs, state = 9
Iteration 3039: c = e, s = strxx, state = 9
Iteration 3040: c = s, s = rxrrs, state = 9
Iteration 3041: c = r, s = eaetr, state = 9
Iteration 3042: c = t, s = xearx, state = 9
Iteration 3043: c = t, s = tttrt, state = 9
Iteration 3044: c = ), s = extxr, state = 9
Iteration 3045: c = ), s = xrerr, state = 9
Iteration 3046: c = }, s = xarra, state = 9
Iteration 3047: c = (, s = tttxx, state = 9
Iteration 3048: c = e, s = srrex, state = 9
Iteration 3049: c =  , s = srxes, state = 9
Iteration 3050: c = a, s = eaeaa, state = 9
Iteration 3051: c = x, s = atxse, state = 9
Iteration 3052: c = t, s = axsss, state = 9
Iteration 3053: c = x, s = sexaa, state = 9
Iteration 3054: c = }, s = eeaet, state = 9
Iteration 3055: c = r, s = xsxas, state = 9
Iteration 3056: c = }, s = esesx, state = 9
Iteration 3057: c = t, s = xxter, state = 9
Iteration 3058: c = s, s = xxets, state = 9
Iteration 3059: c = t, s = eaxet, state = 9
Iteration 3060: c = {, s = rteas, state = 9
Iteration 3061: c = e, s = rsrte, state = 9
Iteration 3062: c = t, s = tesae, state = 9
Iteration 3063: c = r, s = xxese, state = 9
Iteration 3064: c = a, s = textt, state = 9
Iteration 3065: c = }, s = sxxar, state = 9
Iteration 3066: c = [, s = txtxa, state = 9
Iteration 3067: c = x, s = asrsr, state = 9
Iteration 3068: c = [, s = ssats, state = 9
Iteration 3069: c = (, s = rtrsa, state = 9
Iteration 3070: c = {, s = sxasr, state = 9
Iteration 3071: c = r, s = tsxaa, state = 9
Iteration 3072: c = (, s = xsexx, state = 9
Iteration 3073: c = (, s = stxte, state = 9
Iteration 3074: c = ], s = aetst, state = 9
Iteration 3075: c = ], s = xrese, state = 9
Iteration 3076: c = (, s = aexxe, state = 9
Iteration 3077: c = [, s = atxes, state = 9
Iteration 3078: c = (, s = asert, state = 9
Iteration 3079: c = }, s = xxast, state = 9
Iteration 3080: c = {, s = txtes, state = 9
Iteration 3081: c = r, s = rsaax, state = 9
Iteration 3082: c = s, s = aartt, state = 9
Iteration 3083: c = e, s = eaesr, state = 9
Iteration 3084: c = e, s = rarar, state = 9
Iteration 3085: c = ), s = eaear, state = 9
Iteration 3086: c = [, s = srsts, state = 9
Iteration 3087: c = r, s = tasaa, state = 9
Iteration 3088: c = ], s = rertr, state = 9
Iteration 3089: c = ), s = trtxt, state = 9
Iteration 3090: c = x, s = srrst, state = 9
Iteration 3091: c = {, s = eraex, state = 9
Iteration 3092: c = r, s = ssrxx, state = 9
Iteration 3093: c = (, s = tsarr, state = 9
Iteration 3094: c = r, s = arsas, state = 9
Iteration 3095: c = ), s = ertxs, state = 9
Iteration 3096: c = a, s = errar, state = 9
Iteration 3097: c = [, s = saere, state = 9
Iteration 3098: c = t, s = trsss, state = 9
Iteration 3099: c = t, s = reexr, state = 9
Iteration 3100: c = s, s = raees, state = 9
Iteration 3101: c = {, s = rsrxe, state = 9
Iteration 3102: c = (, s = saase, state = 9
Iteration 3103: c =  , s = rrsss, state = 9
Iteration 3104: c = a, s = artra, state = 9
Iteration 3105: c = s, s = txxxt, state = 9
Iteration 3106: c = a, s = aasre, state = 9
Iteration 3107: c = ], s = tsrer, state = 9
Iteration 3108: c = ], s = tesxr, state = 9
Iteration 3109: c = }, s = axrra, state = 9
Iteration 3110: c = [, s = eaarr, state = 9
Iteration 3111: c = (, s = arxxr, state = 9
Iteration 3112: c = e, s = rxtrs, state = 9
Iteration 3113: c = t, s = xxxax, state = 9
Iteration 3114: c = a, s = esser, state = 9
Iteration 3115: c = x, s = steat, state = 9
Iteration 3116: c = s, s = arras, state = 9
Iteration 3117: c = r, s = rxxts, state = 9
Iteration 3118: c =  , s = eests, state = 9
Iteration 3119: c = (, s = saxea, state = 9
Iteration 3120: c = ], s = sersa, state = 9
Iteration 3121: c = a, s = rasax, state = 9
Iteration 3122: c = ), s = etrat, state = 9
Iteration 3123: c = ], s = sxrrx, state = 9
Iteration 3124: c = x, s = xaate, state = 9
Iteration 3125: c = r, s = sxata, state = 9
Iteration 3126: c = [, s = xaarr, state = 9
Iteration 3127: c = (, s = arsrx, state = 9
Iteration 3128: c = t, s = traxs, state = 9
Iteration 3129: c = ], s = txeas, state = 9
Iteration 3130: c = t, s = tttrx, state = 9
Iteration 3131: c = s, s = taeea, state = 9
Iteration 3132: c = a, s = sexxx, state = 9
Iteration 3133: c = e, s = ataas, state = 9
Iteration 3134: c = (, s = tatet, state = 9
Iteration 3135: c = ], s = aeesr, state = 9
Iteration 3136: c = ), s = eattt, state = 9
Iteration 3137: c = t, s = xsese, state = 9
Iteration 3138: c = {, s = rraet, state = 9
Iteration 3139: c = s, s = eerea, state = 9
Iteration 3140: c = t, s = txare, state = 9
Iteration 3141: c = }, s = ersee, state = 9
Iteration 3142: c = [, s = aeaae, state = 9
Iteration 3143: c = (, s = xsaex, state = 9
Iteration 3144: c = ], s = xssaa, state = 9
Iteration 3145: c = e, s = errre, state = 9
Iteration 3146: c = r, s = esetx, state = 9
Iteration 3147: c = x, s = tatat, state = 9
Iteration 3148: c = (, s = arsxs, state = 9
Iteration 3149: c =  , s = state, state = 9
Iteration 3150: c = s, s = aaaer, state = 9
Iteration 3151: c = s, s = xxaxt, state = 9
Iteration 3152: c = e, s = eexsa, state = 9
Iteration 3153: c =  , s = rsrta, state = 9
Iteration 3154: c = {, s = extxt, state = 9
Iteration 3155: c = e, s = strar, state = 9
Iteration 3156: c = (, s = assra, state = 9
Iteration 3157: c = (, s = xattr, state = 9
Iteration 3158: c = }, s = ttsse, state = 9
Iteration 3159: c = {, s = axtta, state = 9
Iteration 3160: c = }, s = tsxxt, state = 9
Iteration 3161: c = x, s = xsaaa, state = 9
Iteration 3162: c = r, s = axxsr, state = 9
Iteration 3163: c = (, s = earsx, state = 9
Iteration 3164: c = s, s = arsse, state = 9
Iteration 3165: c = s, s = esast, state = 9
Iteration 3166: c = x, s = searr, state = 9
Iteration 3167: c = a, s = xsttt, state = 9
Iteration 3168: c = {, s = reera, state = 9
Iteration 3169: c = [, s = txsrx, state = 9
Iteration 3170: c = a, s = xestt, state = 9
Iteration 3171: c = e, s = rssas, state = 9
Iteration 3172: c = r, s = eraxa, state = 9
Iteration 3173: c = [, s = srrtr, state = 9
Iteration 3174: c = }, s = texxs, state = 9
Iteration 3175: c = x, s = ssxxt, state = 9
Iteration 3176: c =  , s = tetxt, state = 9
Iteration 3177: c = t, s = xsxtr, state = 9
Iteration 3178: c = {, s = esese, state = 9
Iteration 3179: c = ), s = rtxrx, state = 9
Iteration 3180: c = t, s = tttxa, state = 9
Iteration 3181: c = a, s = rrses, state = 9
Iteration 3182: c = a, s = rsaes, state = 9
Iteration 3183: c = e, s = xtatt, state = 9
Iteration 3184: c = e, s = taexe, state = 9
Iteration 3185: c = r, s = sasee, state = 9
Iteration 3186: c = ), s = saxre, state = 9
Iteration 3187: c = a, s = xtxar, state = 9
Iteration 3188: c = }, s = eaxaa, state = 9
Iteration 3189: c = ], s = taxex, state = 9
Iteration 3190: c = (, s = rsrxa, state = 9
Iteration 3191: c = }, s = sxxes, state = 9
Iteration 3192: c = r, s = aaxet, state = 9
Iteration 3193: c = {, s = rraes, state = 9
Iteration 3194: c = (, s = rasea, state = 9
Iteration 3195: c = {, s = rtere, state = 9
Iteration 3196: c = ), s = srxaa, state = 9
Iteration 3197: c = {, s = tatse, state = 9
Iteration 3198: c = ], s = aeers, state = 9
Iteration 3199: c = e, s = statt, state = 9
Iteration 3200: c = [, s = exere, state = 9
Iteration 3201: c = r, s = settx, state = 9
Iteration 3202: c = ], s = eaare, state = 9
Iteration 3203: c = {, s = rxtrs, state = 9
Iteration 3204: c = {, s = ttsax, state = 9
Iteration 3205: c = e, s = xrxea, state = 9
Iteration 3206: c = (, s = errsa, state = 9
Iteration 3207: c = }, s = srtxr, state = 9
Iteration 3208: c =  , s = xatsx, state = 9
Iteration 3209: c = (, s = tttrr, state = 9
Iteration 3210: c = e, s = sasax, state = 9
Iteration 3211: c = ], s = asxxt, state = 9
Iteration 3212: c = e, s = ttxsa, state = 9
Iteration 3213: c =  , s = eetax, state = 9
Iteration 3214: c = s, s = xaetr, state = 9
Iteration 3215: c = a, s = txtex, state = 9
Iteration 3216: c = [, s = sasxa, state = 9
Iteration 3217: c = }, s = rsars, state = 9
Iteration 3218: c = r, s = aarse, state = 9
Iteration 3219: c =  , s = axets, state = 9
Iteration 3220: c = ), s = tater, state = 9
Iteration 3221: c = s, s = arest, state = 9
Iteration 3222: c = t, s = atrts, state = 9
Iteration 3223: c = ], s = trrts, state = 9
Iteration 3224: c = ], s = retrr, state = 9
Iteration 3225: c = t, s = aeeex, state = 9
Iteration 3226: c = }, s = exsxe, state = 9
Iteration 3227: c = a, s = xxesx, state = 9
Iteration 3228: c = e, s = exxea, state = 9
Iteration 3229: c = a, s = atetx, state = 9
Iteration 3230: c = [, s = estea, state = 9
Iteration 3231: c = t, s = attrt, state = 9
Iteration 3232: c = s, s = stxts, state = 9
Iteration 3233: c = [, s = txata, state = 9
Iteration 3234: c = ), s = rrrae, state = 9
Iteration 3235: c = }, s = xxrrt, state = 9
Iteration 3236: c = {, s = xstrs, state = 9
Iteration 3237: c = r, s = xssea, state = 9
Iteration 3238: c =  , s = rexss, state = 9
Iteration 3239: c = ), s = attxx, state = 9
Iteration 3240: c = }, s = xexst, state = 9
Iteration 3241: c = ), s = axeer, state = 9
Iteration 3242: c = t, s = easae, state = 9
Iteration 3243: c = (, s = tetxt, state = 9
Iteration 3244: c = ), s = txsxa, state = 9
Iteration 3245: c = e, s = xsatr, state = 9
Iteration 3246: c = }, s = atter, state = 9
Iteration 3247: c = }, s = sssat, state = 9
Iteration 3248: c = r, s = ereex, state = 9
Iteration 3249: c = [, s = astre, state = 9
Iteration 3250: c = [, s = rrexe, state = 9
Iteration 3251: c = {, s = xaexe, state = 9
Iteration 3252: c = (, s = saxtx, state = 9
Iteration 3253: c = {, s = srexx, state = 9
Iteration 3254: c = ), s = axtax, state = 9
Iteration 3255: c = ], s = rsxsr, state = 9
Iteration 3256: c = r, s = reaar, state = 9
Iteration 3257: c = t, s = trter, state = 9
Iteration 3258: c = ], s = saxea, state = 9
Iteration 3259: c = {, s = xaeet, state = 9
Iteration 3260: c = t, s = sarrt, state = 9
Iteration 3261: c =  , s = srste, state = 9
Iteration 3262: c = a, s = exxex, state = 9
Iteration 3263: c =  , s = ttxst, state = 9
Iteration 3264: c = }, s = tesat, state = 9
Iteration 3265: c = t, s = ertat, state = 9
Iteration 3266: c = ], s = xrarr, state = 9
Iteration 3267: c =  , s = axtra, state = 9
Iteration 3268: c = [, s = eaase, state = 9
Iteration 3269: c = e, s = aasae, state = 9
Iteration 3270: c = t, s = ttrrx, state = 9
Iteration 3271: c = a, s = sraat, state = 9
Iteration 3272: c =  , s = sxttx, state = 9
Iteration 3273: c = }, s = etxee, state = 9
Iteration 3274: c = ), s = rrexe, state = 9
Iteration 3275: c = t, s = rtxrt, state = 9
Iteration 3276: c = ), s = asaat, state = 9
Iteration 3277: c = (, s = eexxa, state = 9
Iteration 3278: c = a, s = eerat, state = 9
Iteration 3279: c = }, s = aaset, state = 9
Iteration 3280: c = a, s = xtxxx, state = 9
Iteration 3281: c = ], s = tatrr, state = 9
Iteration 3282: c = s, s = ateex, state = 9
Iteration 3283: c = e, s = rsrss, state = 9
Iteration 3284: c = ), s = esssr, state = 9
Iteration 3285: c = x, s = tears, state = 9
Iteration 3286: c = s, s = xssre, state = 9
Iteration 3287: c = }, s = rreae, state = 9
Iteration 3288: c = [, s = eaess, state = 9
Iteration 3289: c = t, s = taatr, state = 9
Iteration 3290: c = [, s = traat, state = 9
Iteration 3291: c = (, s = etrxx, state = 9
Iteration 3292: c = (, s = xatar, state = 9
Iteration 3293: c = r, s = eatss, state = 9
Iteration 3294: c = t, s = rtxat, state = 9
Iteration 3295: c = x, s = taxst, state = 9
Iteration 3296: c = r, s = arase, state = 9
Iteration 3297: c = t, s = atsxr, state = 9
Iteration 3298: c = (, s = sxest, state = 9
Iteration 3299: c = r, s = trere, state = 9
Iteration 3300: c = r, s = rsxxt, state = 9
Iteration 3301: c = t, s = sstxe, state = 9
Iteration 3302: c = (, s = stsae, state = 9
Iteration 3303: c = a, s = tasaa, state = 9
Iteration 3304: c = {, s = extsr, state = 9
Iteration 3305: c = r, s = tsxaa, state = 9
Iteration 3306: c = ), s = raxer, state = 9
Iteration 3307: c = }, s = teeea, state = 9
Iteration 3308: c = e, s = rxxae, state = 9
Iteration 3309: c = (, s = rsrxt, state = 9
Iteration 3310: c = e, s = axssx, state = 9
Iteration 3311: c = }, s = teeaa, state = 9
Iteration 3312: c = {, s = tssrs, state = 9
Iteration 3313: c = s, s = arxxx, state = 9
Iteration 3314: c = e, s = sratr, state = 9
Iteration 3315: c = (, s = erses, state = 9
Iteration 3316: c = {, s = atext, state = 9
Iteration 3317: c = x, s = rexta, state = 9
Iteration 3318: c = e, s = axsrs, state = 9
Iteration 3319: c = s, s = eraxx, state = 9
Iteration 3320: c = ), s = asata, state = 9
Iteration 3321: c = ], s = ttrxt, state = 9
Iteration 3322: c = x, s = seaer, state = 9
Iteration 3323: c = [, s = sxres, state = 9
Iteration 3324: c = [, s = trerr, state = 9
Iteration 3325: c = x, s = saatt, state = 9
Iteration 3326: c = e, s = tsere, state = 9
Iteration 3327: c = x, s = ttrxa, state = 9
Iteration 3328: c = s, s = sssst, state = 9
Iteration 3329: c = s, s = tsase, state = 9
Iteration 3330: c = (, s = sxttt, state = 9
Iteration 3331: c = [, s = asaxr, state = 9
Iteration 3332: c = e, s = eseet, state = 9
Iteration 3333: c =  , s = aarer, state = 9
Iteration 3334: c = a, s = arxsr, state = 9
Iteration 3335: c = r, s = txrar, state = 9
Iteration 3336: c = ], s = xrrar, state = 9
Iteration 3337: c = s, s = tsser, state = 9
Iteration 3338: c = r, s = srrxt, state = 9
Iteration 3339: c = a, s = xaaxs, state = 9
Iteration 3340: c = [, s = xaate, state = 9
Iteration 3341: c = [, s = asaet, state = 9
Iteration 3342: c = e, s = sttat, state = 9
Iteration 3343: c = [, s = terxx, state = 9
Iteration 3344: c = t, s = ertet, state = 9
Iteration 3345: c = x, s = txaex, state = 9
Iteration 3346: c = {, s = xsssa, state = 9
Iteration 3347: c = s, s = reexs, state = 9
Iteration 3348: c = ), s = atxrr, state = 9
Iteration 3349: c = a, s = rerts, state = 9
Iteration 3350: c = s, s = eassx, state = 9
Iteration 3351: c = ), s = tssex, state = 9
Iteration 3352: c = (, s = rrerx, state = 9
Iteration 3353: c = {, s = xaett, state = 9
Iteration 3354: c = {, s = saxra, state = 9
